Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBatsPerHomeRun_h2h,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Trent Grisham,663757,158,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Yasmani Grandal,518735,158,102.0,76.0,51.0,17.0,2.0,19.0,84.0,62.0,2.0,86.0,5.0,0.256,336.0,0.375,0.488,0.863,0.0,4.0,1.0,8.0,1726.0,408.0,164.0,55.0,129.0,0.0,5.0,0.282,0.8,17.68,0.0,0.211,4.0,0.423,0.634,0.211,0.0,0.277,13.0,0.404,0.744,0.34,0.308,6.31,1.05,11.57,1.43,25.2,17.61,6.43,0.667,0.62,2.56,8.06,3.16,1.64,0.67,0.0,7.0,0.0,0.0,0.125,0.125,0.0,1.0,False
Anthony Santander,623993,110,47.0,45.0,28.0,11.0,1.0,8.0,36.0,12.0,0.0,55.0,1.0,0.294,187.0,0.335,0.492,0.827,2.0,1.0,0.333,0.0,850.0,204.0,92.0,31.0,69.0,1.0,3.0,0.322,0.82,23.38,0.0,0.273,9.0,0.286,0.68,0.394,16.5,0.333,22.0,0.343,0.964,0.621,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,9.0,0.222,2.0,0.222,0.555,0.333,1.0,False
Chance Sisco,642082,110,32.0,19.0,18.0,5.0,0.0,6.0,40.0,11.0,0.0,24.0,4.0,0.229,105.0,0.325,0.448,0.773,1.0,0.0,0.0,2.0,517.0,120.0,47.0,17.0,43.0,0.0,0.0,0.305,0.86,17.5,0.0,0.115,3.0,0.148,0.263,0.115,53.0,0.189,10.0,0.246,0.491,0.245,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,6.0,0.167,1.0,0.286,0.619,0.333,1.0,True
Chris Davis,448801,110,79.0,43.0,18.0,7.0,0.0,8.0,106.0,22.0,1.0,44.0,3.0,0.186,236.0,0.263,0.318,0.581,0.0,0.0,0.0,5.0,1123.0,262.0,75.0,27.0,103.0,0.0,1.0,0.293,0.98,29.5,17.0,0.176,3.0,0.222,0.575,0.353,43.0,0.186,8.0,0.239,0.518,0.279,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,5.0,0.8,4.0,0.833,1.833,1.0,1.0,True
Hanser Alberto,593643,110,90.0,105.0,31.0,11.0,1.0,6.0,33.0,8.0,1.0,104.0,3.0,0.315,330.0,0.335,0.409,0.744,2.0,4.0,0.667,3.0,1111.0,345.0,135.0,31.0,114.0,2.0,2.0,0.334,1.14,55.0,0.0,0.435,10.0,0.48,0.915,0.435,16.67,0.4,20.0,0.423,1.003,0.58,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,6.0,0.333,2.0,0.429,0.762,0.333,0.0,True
Jace Peterson,607054,110,7.0,3.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,0.0,0.207,29.0,0.233,0.207,0.44,0.0,3.0,1.0,0.0,117.0,30.0,6.0,3.0,11.0,0.0,0.0,0.261,0.21,0.0,0.0,0.207,6.0,0.233,0.44,0.207,0.0,0.207,6.0,0.233,0.44,0.207,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jonathan Villar,542340,110,108.0,119.0,70.0,22.0,2.0,13.0,114.0,37.0,0.0,111.0,3.0,0.262,423.0,0.325,0.416,0.741,6.0,23.0,0.793,5.0,1858.0,467.0,176.0,48.0,140.0,2.0,2.0,0.329,1.43,32.54,16.0,0.406,13.0,0.457,1.082,0.625,22.67,0.265,18.0,0.315,0.727,0.412,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,9.0,0.111,1.0,0.111,0.333,0.222,1.0,False
Jose Rondon,602922,110,56.0,42.0,10.0,3.0,0.0,3.0,38.0,11.0,0.0,28.0,2.0,0.196,143.0,0.263,0.28,0.543,0.0,0.0,0.0,4.0,673.0,157.0,40.0,9.0,81.0,1.0,0.0,0.245,1.17,47.67,0.0,0.133,2.0,0.133,0.266,0.133,31.0,0.194,6.0,0.286,0.576,0.29,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Pedro Severino,600474,110,63.0,52.0,26.0,9.0,0.0,10.0,47.0,21.0,0.0,56.0,3.0,0.276,203.0,0.349,0.468,0.817,1.0,2.0,0.667,1.0,940.0,230.0,95.0,29.0,89.0,1.0,2.0,0.311,1.02,20.3,27.0,0.333,9.0,0.455,0.936,0.481,24.5,0.286,14.0,0.364,0.813,0.449,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Renato Nunez,600524,110,103.0,74.0,56.0,19.0,0.0,25.0,103.0,31.0,1.0,95.0,6.0,0.252,377.0,0.319,0.501,0.82,1.0,0.0,0.0,7.0,1699.0,414.0,189.0,63.0,154.0,0.0,0.0,0.281,0.7,15.08,32.0,0.281,9.0,0.361,0.736,0.375,15.25,0.295,18.0,0.386,0.894,0.508,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,7.0,0.286,2.0,0.375,0.661,0.286,0.0,True
Richie Martin,621006,110,85.0,66.0,21.0,6.0,3.0,4.0,69.0,13.0,0.0,40.0,4.0,0.186,215.0,0.246,0.298,0.543,1.0,7.0,0.875,6.0,948.0,235.0,64.0,13.0,114.0,3.0,0.0,0.254,1.53,53.75,0.0,0.231,3.0,0.375,0.606,0.231,0.0,0.303,10.0,0.361,0.755,0.394,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Stevie Wilkerson,592859,110,73.0,56.0,29.0,11.0,1.0,8.0,76.0,12.0,0.0,49.0,3.0,0.222,221.0,0.27,0.389,0.659,3.0,2.0,0.4,4.0,971.0,237.0,86.0,29.0,98.0,0.0,1.0,0.297,1.37,27.62,0.0,0.143,3.0,0.25,0.488,0.238,0.0,0.244,10.0,0.304,0.645,0.341,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,6.0,0.167,1.0,0.167,0.334,0.167,1.0,True
Trey Mancini,641820,110,102.0,106.0,70.0,24.0,2.0,25.0,97.0,35.0,2.0,113.0,4.0,0.282,401.0,0.343,0.539,0.882,0.0,1.0,1.0,12.0,1783.0,443.0,216.0,56.0,153.0,0.0,3.0,0.312,1.2,16.04,11.0,0.242,8.0,0.306,0.882,0.576,7.88,0.286,18.0,0.357,1.103,0.746,0.321,8.05,0.66,12.79,1.42,19.0,17.84,8.05,1.0,0.66,2.2,5.21,2.37,1.68,0.5,0.0,9.0,0.111,1.0,0.111,0.333,0.222,0.0,True
Billy McKinney,641856,141,56.0,46.0,28.0,11.0,1.0,8.0,51.0,12.0,0.0,40.0,2.0,0.216,185.0,0.27,0.416,0.686,2.0,0.0,0.0,0.0,740.0,202.0,77.0,19.0,62.0,2.0,1.0,0.252,0.9,23.12,8.0,0.167,4.0,0.2,0.742,0.542,9.0,0.2,9.0,0.265,0.843,0.578,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Bo Bichette,666182,141,4.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,8.0,0.0,0.444,18.0,0.5,0.722,1.222,0.0,0.0,0.0,0.0,72.0,20.0,13.0,2.0,6.0,0.0,0.0,0.5,0.4,18.0,18.0,0.444,8.0,0.5,1.222,0.722,18.0,0.444,8.0,0.5,1.222,0.722,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0,True
Brandon Drury,592273,141,83.0,76.0,30.0,15.0,1.0,11.0,84.0,18.0,0.0,64.0,1.0,0.219,292.0,0.264,0.39,0.655,0.0,0.0,0.0,5.0,1255.0,314.0,114.0,28.0,124.0,0.0,3.0,0.265,1.07,26.54,14.5,0.241,7.0,0.29,0.773,0.483,17.33,0.212,11.0,0.236,0.64,0.404,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Cavan Biggio,624415,141,55.0,33.0,36.0,7.0,0.0,8.0,66.0,39.0,0.0,41.0,0.0,0.217,189.0,0.349,0.381,0.73,0.0,8.0,1.0,0.0,1035.0,230.0,72.0,26.0,69.0,0.0,1.0,0.284,0.66,23.62,15.0,0.267,8.0,0.389,0.889,0.5,28.5,0.175,10.0,0.319,0.617,0.298,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,4.0,0.25,1.0,0.4,0.65,0.25,1.0,True
Danny Jansen,643376,141,84.0,69.0,29.0,11.0,1.0,9.0,62.0,23.0,0.0,56.0,4.0,0.211,266.0,0.282,0.361,0.643,0.0,0.0,0.0,6.0,1103.0,295.0,96.0,35.0,100.0,1.0,1.0,0.24,0.85,29.56,23.0,0.217,5.0,0.28,0.671,0.391,46.0,0.174,8.0,0.269,0.53,0.261,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,4.0,0.5,2.0,0.5,1.25,0.75,0.0,True
Derek Fisher,605233,141,18.0,16.0,9.0,2.0,1.0,1.0,14.0,7.0,0.0,12.0,0.0,0.226,53.0,0.317,0.358,0.675,1.0,4.0,0.8,0.0,230.0,60.0,19.0,5.0,18.0,0.0,0.0,0.289,1.45,53.0,0.0,0.176,3.0,0.3,0.476,0.176,49.0,0.224,11.0,0.321,0.688,0.367,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Freddy Galvis,520471,141,105.0,96.0,51.0,21.0,1.0,16.0,101.0,21.0,1.0,109.0,0.0,0.264,413.0,0.299,0.436,0.735,1.0,4.0,0.8,10.0,1660.0,435.0,180.0,51.0,165.0,0.0,1.0,0.313,0.89,25.81,32.0,0.188,6.0,0.212,0.525,0.313,67.0,0.239,16.0,0.25,0.578,0.328,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,3.0,0.333,1.0,0.6,1.6,1.0,1.0,False
Justin Smoak,475253,141,88.0,76.0,42.0,8.0,0.0,18.0,73.0,62.0,1.0,64.0,5.0,0.213,300.0,0.356,0.42,0.776,0.0,0.0,0.0,6.0,1531.0,368.0,126.0,47.0,118.0,0.0,1.0,0.219,0.86,16.67,20.0,0.15,3.0,0.37,0.67,0.3,12.25,0.224,11.0,0.387,0.877,0.49,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,5.0,0.0,0.0,0.286,0.286,0.0,1.0,False
Lourdes Gurriel Jr.,666971,141,72.0,58.0,47.0,17.0,2.0,18.0,68.0,18.0,0.0,77.0,4.0,0.289,266.0,0.341,0.571,0.913,4.0,6.0,0.6,4.0,1078.0,290.0,152.0,45.0,104.0,0.0,2.0,0.324,0.89,14.78,0.0,0.286,6.0,0.4,0.733,0.333,27.0,0.296,16.0,0.356,0.875,0.519,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,2.0,2.0,0.5,1.0,0.5,2.5,2.0,0.0,False
Randal Grichuk,545341,141,103.0,88.0,49.0,16.0,2.0,18.0,118.0,29.0,0.0,92.0,4.0,0.232,397.0,0.29,0.418,0.708,1.0,1.0,0.5,10.0,1654.0,431.0,166.0,48.0,184.0,0.0,1.0,0.282,0.88,22.06,13.5,0.296,8.0,0.345,0.975,0.63,28.0,0.196,11.0,0.262,0.637,0.375,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,5.0,5.0,0.6,3.0,0.667,1.867,1.2,0.0,True
Reese McGuire,624512,141,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.222,9.0,0.222,0.222,0.444,0.0,0.0,0.0,0.0,24.0,9.0,2.0,0.0,4.0,0.0,0.0,0.333,3.0,0.0,0.0,0.222,2.0,0.222,0.444,0.222,0.0,0.222,2.0,0.222,0.444,0.222,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Teoscar Hernandez,606192,141,81.0,53.0,38.0,11.0,1.0,15.0,92.0,27.0,1.0,60.0,1.0,0.219,274.0,0.29,0.431,0.721,1.0,4.0,0.8,5.0,1242.0,303.0,118.0,39.0,117.0,0.0,1.0,0.268,0.76,18.27,8.67,0.269,7.0,0.387,1.079,0.692,7.57,0.302,16.0,0.403,1.158,0.755,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Vladimir Guerrero Jr.,665489,141,79.0,85.0,40.0,17.0,0.0,13.0,58.0,33.0,0.0,79.0,1.0,0.267,296.0,0.341,0.456,0.797,1.0,0.0,0.0,13.0,1282.0,331.0,135.0,47.0,128.0,0.0,1.0,0.292,1.13,22.77,7.5,0.367,11.0,0.424,1.291,0.867,11.8,0.356,21.0,0.424,1.102,0.678,0.187,3.24,0.53,6.12,1.8,25.0,16.24,3.24,1.0,0.64,5.0,10.8,2.16,0.92,0.5,5.0,5.0,0.4,2.0,0.4,1.6,1.2,0.0,True
Andrew Benintendi,643217,111,95.0,75.0,56.0,31.0,4.0,11.0,104.0,44.0,1.0,112.0,4.0,0.286,392.0,0.361,0.469,0.831,2.0,9.0,0.818,2.0,1746.0,445.0,184.0,54.0,154.0,2.0,3.0,0.361,0.71,35.64,10.33,0.516,16.0,0.545,1.545,1.0,15.0,0.383,23.0,0.456,1.189,0.733,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,3.0,0.667,2.0,0.667,2.0,1.333,0.0,True
Brock Holt,571788,111,47.0,36.0,24.0,8.0,1.0,1.0,29.0,12.0,0.0,44.0,3.0,0.324,136.0,0.381,0.419,0.8,0.0,1.0,1.0,2.0,651.0,155.0,57.0,20.0,56.0,0.0,4.0,0.391,1.16,136.0,0.0,0.143,2.0,0.316,0.459,0.143,0.0,0.378,14.0,0.432,0.918,0.486,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Christian Vazquez,543877,111,92.0,77.0,45.0,15.0,1.0,16.0,65.0,20.0,3.0,89.0,0.0,0.278,320.0,0.318,0.481,0.799,2.0,2.0,0.5,11.0,1301.0,344.0,154.0,47.0,150.0,1.0,3.0,0.302,0.83,20.0,0.0,0.148,4.0,0.148,0.37,0.222,54.0,0.185,10.0,0.241,0.519,0.278,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
J.D. Martinez,502110,111,99.0,91.0,63.0,23.0,2.0,23.0,93.0,45.0,5.0,118.0,2.0,0.295,400.0,0.367,0.535,0.902,0.0,1.0,1.0,13.0,1659.0,450.0,214.0,63.0,172.0,0.0,2.0,0.332,0.91,17.39,9.67,0.31,9.0,0.394,1.153,0.759,15.75,0.317,20.0,0.377,0.98,0.603,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,False
Jackie Bradley Jr.,598265,111,99.0,94.0,45.0,21.0,2.0,11.0,104.0,40.0,3.0,78.0,8.0,0.226,345.0,0.32,0.394,0.714,2.0,7.0,0.778,5.0,1521.0,397.0,136.0,41.0,149.0,3.0,1.0,0.29,1.29,31.36,0.0,0.231,6.0,0.259,0.644,0.385,28.0,0.196,11.0,0.25,0.643,0.393,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
Michael Chavis,656308,111,85.0,64.0,45.0,10.0,1.0,17.0,118.0,29.0,2.0,83.0,4.0,0.26,319.0,0.33,0.458,0.787,1.0,2.0,0.667,11.0,1377.0,352.0,146.0,56.0,152.0,0.0,0.0,0.359,1.19,18.76,21.0,0.333,7.0,0.333,0.904,0.571,22.5,0.267,12.0,0.34,0.784,0.444,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Mitch Moreland,519048,111,53.0,52.0,27.0,10.0,0.0,13.0,43.0,22.0,0.0,38.0,0.0,0.225,169.0,0.311,0.515,0.826,0.0,1.0,1.0,9.0,783.0,193.0,87.0,38.0,99.0,0.0,2.0,0.217,1.37,13.0,0.0,0.2,4.0,0.238,0.488,0.25,47.0,0.213,10.0,0.288,0.65,0.362,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Mookie Betts,605141,111,108.0,89.0,101.0,28.0,4.0,19.0,75.0,77.0,6.0,124.0,2.0,0.289,429.0,0.395,0.506,0.901,2.0,12.0,0.857,9.0,2144.0,514.0,217.0,57.0,142.0,0.0,6.0,0.308,0.61,22.58,7.5,0.4,12.0,0.429,1.329,0.9,10.5,0.333,21.0,0.389,1.087,0.698,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Rafael Devers,646240,111,107.0,117.0,89.0,37.0,3.0,21.0,73.0,34.0,5.0,142.0,2.0,0.327,434.0,0.377,0.571,0.949,6.0,8.0,0.571,5.0,1710.0,473.0,248.0,84.0,171.0,1.0,2.0,0.354,1.11,20.67,33.0,0.394,13.0,0.417,1.114,0.697,17.0,0.353,24.0,0.375,1.081,0.706,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Sam Travis,607752,111,24.0,17.0,5.0,3.0,0.0,2.0,15.0,2.0,0.0,18.0,0.0,0.281,64.0,0.303,0.422,0.725,0.0,1.0,1.0,2.0,257.0,66.0,27.0,7.0,27.0,0.0,0.0,0.34,1.21,32.0,0.0,0.474,9.0,0.5,1.079,0.579,18.5,0.378,14.0,0.41,1.032,0.622,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,3.0,0.333,1.0,0.333,0.666,0.333,1.0,True
Sandy Leon,506702,111,45.0,27.0,10.0,2.0,0.0,4.0,32.0,10.0,0.0,24.0,1.0,0.197,122.0,0.261,0.311,0.573,0.0,0.0,0.0,0.0,553.0,137.0,38.0,15.0,66.0,3.0,1.0,0.23,0.63,30.5,10.0,0.25,5.0,0.25,0.8,0.55,21.5,0.209,9.0,0.244,0.593,0.349,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Xander Bogaerts,593428,111,106.0,95.0,87.0,37.0,0.0,25.0,88.0,57.0,2.0,133.0,1.0,0.317,419.0,0.397,0.585,0.982,1.0,3.0,0.75,6.0,1965.0,481.0,245.0,84.0,190.0,0.0,4.0,0.348,0.89,16.76,8.5,0.441,15.0,0.441,1.353,0.912,16.5,0.364,24.0,0.4,1.052,0.652,0.273,4.38,0.78,9.85,1.49,24.2,16.86,4.46,1.0,0.68,12.5,9.12,0.73,1.18,0.67,1.5,3.0,1.0,3.0,1.0,4.0,3.0,1.0,True
Austin Meadows,640457,139,89.0,57.0,46.0,17.0,7.0,17.0,96.0,35.0,4.0,98.0,5.0,0.287,341.0,0.362,0.528,0.89,4.0,9.0,0.692,1.0,1582.0,381.0,180.0,52.0,125.0,0.0,0.0,0.355,0.63,20.06,14.5,0.276,8.0,0.364,0.985,0.621,15.0,0.267,16.0,0.333,0.933,0.6,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,6.0,0.333,2.0,0.333,0.833,0.5,0.0,True
Avisail Garcia,541645,139,92.0,87.0,44.0,17.0,1.0,14.0,95.0,25.0,2.0,99.0,7.0,0.273,362.0,0.331,0.442,0.773,2.0,9.0,0.818,12.0,1423.0,396.0,160.0,49.0,172.0,0.0,2.0,0.333,1.05,25.86,28.0,0.179,5.0,0.207,0.564,0.357,27.0,0.259,14.0,0.317,0.743,0.426,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
Eric Sogard,519299,139,76.0,64.0,47.0,18.0,2.0,10.0,51.0,31.0,0.0,89.0,1.0,0.3,297.0,0.364,0.475,0.839,0.0,6.0,1.0,2.0,1361.0,335.0,141.0,31.0,76.0,3.0,3.0,0.331,0.65,29.7,0.0,0.25,7.0,0.323,0.644,0.321,65.0,0.308,20.0,0.357,0.819,0.462,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,9.0,0.333,3.0,0.333,0.777,0.444,0.0,True
Guillermo Heredia,628338,139,65.0,44.0,21.0,9.0,0.0,3.0,41.0,12.0,0.0,37.0,5.0,0.239,155.0,0.312,0.355,0.667,1.0,0.0,0.0,3.0,666.0,175.0,55.0,16.0,66.0,2.0,1.0,0.304,1.22,51.67,23.0,0.304,7.0,0.346,0.824,0.478,50.0,0.26,13.0,0.296,0.676,0.38,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,8.0,0.25,2.0,0.4,0.775,0.375,1.0,False
Jesus Aguilar,542583,139,95.0,54.0,28.0,9.0,0.0,8.0,59.0,33.0,0.0,52.0,2.0,0.231,225.0,0.33,0.378,0.707,0.0,0.0,0.0,11.0,1089.0,267.0,85.0,34.0,98.0,0.0,4.0,0.272,0.84,28.12,0.0,0.313,5.0,0.421,0.796,0.375,0.0,0.222,8.0,0.31,0.616,0.306,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,2.0,0.5,1.0,0.667,1.167,0.5,1.0,True
Ji-Man Choi,596847,139,84.0,72.0,34.0,12.0,1.0,10.0,68.0,40.0,1.0,74.0,4.0,0.265,279.0,0.361,0.423,0.784,3.0,2.0,0.4,5.0,1332.0,327.0,118.0,38.0,121.0,0.0,4.0,0.312,1.04,27.9,19.0,0.421,8.0,0.542,1.279,0.737,42.0,0.262,11.0,0.404,0.809,0.405,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,8.0,0.125,1.0,0.417,0.667,0.25,0.0,True
Kevin Kiermaier,595281,139,91.0,102.0,45.0,14.0,7.0,11.0,72.0,20.0,2.0,80.0,1.0,0.247,324.0,0.292,0.435,0.727,3.0,17.0,0.85,7.0,1302.0,347.0,141.0,45.0,125.0,1.0,1.0,0.285,1.42,29.46,25.0,0.16,4.0,0.192,0.592,0.4,54.0,0.259,14.0,0.286,0.712,0.426,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,11.0,0.182,2.0,0.182,0.364,0.182,0.0,False
Matt Duffy,622110,139,8.0,10.0,1.0,3.0,0.0,0.0,9.0,3.0,0.0,10.0,0.0,0.294,34.0,0.351,0.382,0.734,0.0,0.0,0.0,0.0,150.0,37.0,13.0,4.0,8.0,0.0,0.0,0.4,2.0,0.0,0.0,0.258,8.0,0.303,0.626,0.323,0.0,0.294,10.0,0.351,0.733,0.382,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,22.0,0.227,5.0,0.292,0.61,0.318,1.0,True
Michael Brosseau,670712,139,23.0,12.0,12.0,6.0,0.0,4.0,20.0,4.0,0.0,22.0,0.0,0.289,76.0,0.325,0.526,0.851,0.0,0.0,0.0,1.0,337.0,80.0,40.0,11.0,27.0,0.0,0.0,0.346,0.55,19.0,0.0,0.227,5.0,0.292,0.565,0.273,16.67,0.24,12.0,0.283,0.743,0.46,0.291,5.93,1.2,10.09,1.2,30.1,16.25,6.28,0.0,0.63,2.0,5.93,2.97,1.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,
