Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Ehire Adrianza,501303,142,55.0,38.0,28.0,4.0,2.0,4.0,24.0,17.0,1.0,39.0,5.0,0.287,136.0,0.381,0.434,0.815,1.0,0.0,0.0,2.0,603.0,163.0,59.0,17.0,61.0,1.0,2.0,0.318,1.0,0.313,5.0,0.421,0.984,0.563,0.316,12.0,0.409,0.883,0.474,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,11.0,0.091,1.0,0.167,0.258,0.091,1.0
Jason Castro,488771,142,50.0,28.0,30.0,8.0,0.0,10.0,45.0,17.0,0.0,40.0,2.0,0.261,153.0,0.341,0.51,0.851,0.0,0.0,0.0,0.0,698.0,174.0,78.0,25.0,79.0,1.0,1.0,0.303,0.67,0.35,7.0,0.417,0.817,0.4,0.292,14.0,0.34,0.798,0.458,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,4.0,0.25,1.0,0.4,0.65,0.25,1.0
Jonathan Schoop,570731,142,83.0,79.0,46.0,19.0,0.0,15.0,84.0,13.0,1.0,81.0,9.0,0.258,314.0,0.306,0.462,0.767,1.0,1.0,0.5,9.0,1197.0,337.0,145.0,41.0,168.0,0.0,1.0,0.306,1.11,0.231,6.0,0.25,0.635,0.385,0.276,16.0,0.317,0.765,0.448,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,3.0,0.667,2.0,0.667,1.334,0.667,0.0
Jorge Polanco,593871,142,97.0,68.0,63.0,28.0,5.0,15.0,69.0,37.0,2.0,125.0,3.0,0.307,407.0,0.365,0.511,0.876,3.0,4.0,0.571,8.0,1818.0,453.0,208.0,50.0,139.0,1.0,5.0,0.335,0.45,0.31,9.0,0.382,1.003,0.621,0.277,18.0,0.333,0.825,0.492,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,9.0,0.222,2.0,0.417,0.973,0.556,1.0
Luis Arraez,650333,142,39.0,33.0,22.0,8.0,0.0,2.0,11.0,17.0,0.0,48.0,1.0,0.375,128.0,0.449,0.484,0.933,1.0,1.0,0.5,1.0,607.0,147.0,62.0,8.0,33.0,0.0,1.0,0.397,0.89,0.346,9.0,0.433,0.818,0.385,0.321,17.0,0.41,0.806,0.396,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Marwin Gonzalez,503556,142,81.0,78.0,36.0,13.0,0.0,12.0,72.0,25.0,0.0,77.0,6.0,0.257,300.0,0.325,0.42,0.745,0.0,1.0,1.0,6.0,1306.0,332.0,126.0,35.0,116.0,0.0,1.0,0.3,1.05,0.192,5.0,0.323,0.746,0.423,0.286,16.0,0.369,0.851,0.482,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,8.0,0.25,2.0,0.333,0.708,0.375,1.0
Max Kepler,596146,142,94.0,87.0,64.0,23.0,0.0,26.0,67.0,40.0,0.0,99.0,3.0,0.263,376.0,0.336,0.532,0.868,5.0,1.0,0.167,3.0,1508.0,423.0,200.0,67.0,126.0,0.0,4.0,0.254,0.69,0.286,8.0,0.375,1.018,0.643,0.238,15.0,0.294,0.802,0.508,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,10.0,0.5,5.0,0.545,1.245,0.7,1.0
Miguel Sano,593934,142,53.0,34.0,37.0,11.0,1.0,17.0,82.0,27.0,0.0,45.0,0.0,0.236,191.0,0.329,0.571,0.899,0.0,0.0,0.0,0.0,974.0,219.0,109.0,34.0,95.0,0.0,1.0,0.301,1.1,0.231,6.0,0.355,1.086,0.731,0.26,13.0,0.383,0.983,0.6,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,9.0,0.111,1.0,0.111,0.333,0.222,0.0
Mitch Garver,641598,142,55.0,35.0,42.0,8.0,1.0,19.0,54.0,23.0,0.0,55.0,4.0,0.291,189.0,0.378,0.646,1.023,0.0,0.0,0.0,5.0,889.0,217.0,122.0,42.0,72.0,0.0,1.0,0.308,0.76,0.238,5.0,0.37,1.18,0.81,0.288,15.0,0.377,1.089,0.712,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,8.0,0.375,3.0,0.444,1.069,0.625,0.0
Nelson Cruz,443558,142,75.0,57.0,49.0,16.0,0.0,25.0,89.0,36.0,2.0,79.0,6.0,0.278,284.0,0.37,0.599,0.969,1.0,0.0,0.0,8.0,1364.0,328.0,170.0,58.0,123.0,0.0,1.0,0.316,0.95,0.357,10.0,0.455,1.562,1.107,0.241,14.0,0.362,1.069,0.707,0.255,5.74,0.79,8.78,1.72,26.2,16.95,5.84,0.0,0.67,3.33,10.13,3.04,1.31,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0
