Name,ID,Team,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Gorkys Hernandez,491676,111,14.0,15.0,6.0,2.0,0.0,1.0,0.0,10.0,1.0,0.0,3.0,0.0,0.094,32.0,0.121,0.156,0.277,0.0,1.0,1.0,0.0,148.0,35.0,5.0,0.0,15.0,2.0,0.0,0.136,2.5,0.0,0.0,0.1,2.0,0.143,0.343,0.2,0.0,0.094,3.0,0.121,0.277,0.156,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J.D. Martinez,502110,111,141.0,133.0,128.0,95.0,33.0,2.0,35.0,131.0,70.0,9.0,167.0,4.0,0.301,554.0,0.381,0.558,0.938,0.0,1.0,1.0,18.0,2371.0,634.0,309.0,100.0,217.0,0.0,5.0,0.336,1.04,15.83,0.0,0.261,6.0,0.4,0.704,0.304,52.0,0.173,9.0,0.29,0.578,0.288,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,7.0,0.143,1.0,0.333,0.619,0.286,0.0,True
Jackie Bradley Jr.,598265,111,141.0,129.0,94.0,65.0,26.0,3.0,20.0,147.0,55.0,3.0,106.0,11.0,0.225,471.0,0.319,0.42,0.739,4.0,8.0,0.667,5.0,2121.0,542.0,198.0,57.0,212.0,3.0,2.0,0.281,1.37,23.55,15.5,0.29,9.0,0.313,0.861,0.548,17.33,0.269,14.0,0.333,0.852,0.519,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,16.0,0.313,5.0,0.353,0.853,0.5,1.0,True
Juan Centeno,518542,111,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,10.0,0.308,0.1,0.408,0.0,0.0,0.0,0.0,46.0,13.0,1.0,2.0,4.0,0.0,0.0,0.1,0.5,0.0,0.0,0.1,1.0,0.308,0.408,0.1,0.0,0.1,1.0,0.308,0.408,0.1,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Marco Hernandez,593523,111,56.0,38.0,28.0,16.0,7.0,0.0,2.0,36.0,3.0,0.0,34.0,3.0,0.252,135.0,0.284,0.348,0.632,2.0,1.0,0.333,1.0,504.0,142.0,47.0,11.0,68.0,1.0,0.0,0.33,1.36,67.5,0.0,0.179,5.0,0.207,0.421,0.214,0.0,0.146,7.0,0.163,0.351,0.188,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,9.0,0.556,5.0,0.556,1.223,0.667,1.0,True
Mitch Moreland,519048,111,87.0,85.0,58.0,45.0,16.0,1.0,18.0,71.0,33.0,0.0,69.0,1.0,0.246,281.0,0.325,0.502,0.827,0.0,1.0,1.0,12.0,1264.0,317.0,141.0,56.0,142.0,0.0,2.0,0.263,1.47,15.61,9.67,0.241,7.0,0.29,0.911,0.621,13.5,0.259,14.0,0.31,0.847,0.537,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Mookie Betts,605141,111,147.0,119.0,205.0,133.0,40.0,5.0,28.0,100.0,96.0,6.0,172.0,3.0,0.293,587.0,0.39,0.521,0.911,3.0,16.0,0.842,11.0,2868.0,695.0,306.0,78.0,184.0,0.0,9.0,0.308,0.58,20.96,15.5,0.355,11.0,0.412,0.96,0.548,9.29,0.385,25.0,0.438,1.176,0.738,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,23.0,0.304,7.0,0.37,0.892,0.522,0.0,True
Rafael Devers,646240,111,151.0,172.0,148.0,123.0,50.0,4.0,31.0,115.0,47.0,6.0,192.0,4.0,0.308,624.0,0.359,0.55,0.909,8.0,8.0,0.5,8.0,2555.0,678.0,343.0,113.0,246.0,1.0,2.0,0.335,1.16,20.13,17.5,0.257,9.0,0.297,0.726,0.429,31.5,0.238,15.0,0.314,0.679,0.365,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,4.0,0.0,0.0,0.2,0.2,0.0,1.0,True
Sam Travis,607752,111,55.0,42.0,31.0,16.0,4.0,1.0,6.0,33.0,10.0,2.0,30.0,0.0,0.222,135.0,0.274,0.4,0.674,0.0,2.0,1.0,5.0,580.0,146.0,54.0,15.0,65.0,0.0,1.0,0.247,1.35,22.5,0.0,0.125,2.0,0.125,0.375,0.25,0.0,0.094,3.0,0.121,0.277,0.156,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,4.0,0.25,1.0,0.25,0.5,0.25,0.0,False
Sandy Leon,506702,111,61.0,34.0,56.0,13.0,3.0,0.0,5.0,45.0,12.0,0.0,32.0,1.0,0.198,162.0,0.256,0.309,0.564,0.0,0.0,0.0,0.0,723.0,180.0,50.0,18.0,82.0,4.0,1.0,0.239,0.61,32.4,0.0,0.313,5.0,0.353,0.728,0.375,37.0,0.216,8.0,0.256,0.58,0.324,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,14.0,0.429,6.0,0.529,0.958,0.429,1.0,False
Xander Bogaerts,593428,111,150.0,147.0,151.0,106.0,51.0,0.0,32.0,121.0,73.0,2.0,181.0,2.0,0.304,596.0,0.379,0.55,0.93,2.0,4.0,0.667,11.0,2769.0,675.0,328.0,110.0,248.0,0.0,4.0,0.333,0.97,18.62,29.0,0.31,9.0,0.375,0.823,0.448,60.0,0.25,15.0,0.308,0.658,0.35,0.188,1.37,0.83,5.95,0.94,19.2,18.97,1.41,0.833,0.63,2.89,11.9,4.12,1.12,1.0,21.0,0.095,2.0,0.208,0.351,0.143,0.0,False
Amed Rosario,642708,121,151.0,162.0,147.0,73.0,29.0,7.0,15.0,121.0,31.0,2.0,170.0,2.0,0.286,595.0,0.322,0.434,0.755,8.0,18.0,0.692,12.0,2344.0,633.0,258.0,70.0,237.0,2.0,3.0,0.335,1.1,39.67,9.33,0.286,8.0,0.286,0.965,0.679,18.67,0.304,17.0,0.339,0.857,0.518,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,13.0,0.231,3.0,0.231,0.769,0.538,1.0,True
Brandon Nimmo,607043,121,63.0,40.0,39.0,31.0,8.0,1.0,8.0,63.0,41.0,2.0,39.0,5.0,0.219,178.0,0.376,0.41,0.786,0.0,2.0,1.0,1.0,981.0,227.0,73.0,26.0,54.0,1.0,2.0,0.284,1.03,22.25,8.0,0.292,7.0,0.393,1.06,0.667,9.75,0.282,11.0,0.44,1.081,0.641,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J.D. Davis,605204,121,135.0,101.0,81.0,62.0,20.0,1.0,20.0,92.0,37.0,2.0,120.0,3.0,0.306,392.0,0.369,0.515,0.884,0.0,3.0,1.0,14.0,1730.0,434.0,202.0,53.0,179.0,0.0,2.0,0.355,1.25,19.6,18.0,0.333,6.0,0.4,0.956,0.556,22.0,0.318,14.0,0.362,0.862,0.5,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,6.0,0.333,2.0,0.5,1.0,0.5,1.0,True
Jed Lowrie,476704,121,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Jeff McNeil,643446,121,131.0,131.0,138.0,82.0,37.0,1.0,23.0,75.0,35.0,2.0,159.0,20.0,0.316,503.0,0.384,0.531,0.914,6.0,5.0,0.455,5.0,2040.0,558.0,267.0,73.0,170.0,0.0,0.0,0.336,0.95,21.87,10.33,0.29,9.0,0.333,0.978,0.645,12.4,0.258,16.0,0.324,0.889,0.565,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,8.0,0.375,3.0,0.444,0.944,0.5,0.0,True
Joe Panik,605412,121,137.0,134.0,152.0,48.0,21.0,2.0,4.0,47.0,41.0,2.0,105.0,4.0,0.243,432.0,0.312,0.329,0.641,2.0,4.0,0.667,6.0,1845.0,483.0,142.0,38.0,172.0,2.0,4.0,0.262,0.88,108.0,0.0,0.167,1.0,0.286,0.453,0.167,28.0,0.25,7.0,0.3,0.729,0.429,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,6.0,0.333,2.0,0.333,0.666,0.333,0.0,False
Juan Lagares,501571,121,129.0,68.0,61.0,37.0,12.0,1.0,5.0,73.0,21.0,4.0,54.0,2.0,0.213,253.0,0.278,0.328,0.606,1.0,4.0,0.8,8.0,1067.0,279.0,83.0,27.0,102.0,2.0,1.0,0.278,1.11,50.6,0.0,0.333,2.0,0.429,0.762,0.333,11.5,0.304,7.0,0.333,0.942,0.609,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,6.0,0.167,1.0,0.286,0.453,0.167,1.0,True
Luis Guillorme,641645,121,42.0,17.0,13.0,6.0,4.0,0.0,1.0,13.0,7.0,0.0,12.0,0.0,0.226,53.0,0.317,0.358,0.675,0.0,0.0,0.0,2.0,279.0,62.0,19.0,3.0,23.0,2.0,0.0,0.282,1.31,53.0,0.0,0.286,2.0,0.444,0.873,0.429,0.0,0.333,5.0,0.5,1.033,0.533,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Michael Conforto,624424,121,145.0,108.0,151.0,86.0,27.0,1.0,31.0,143.0,81.0,5.0,133.0,10.0,0.251,530.0,0.358,0.481,0.839,2.0,7.0,0.778,11.0,2491.0,626.0,255.0,87.0,225.0,0.0,5.0,0.283,0.72,17.1,23.0,0.13,3.0,0.355,0.659,0.304,24.0,0.167,8.0,0.344,0.677,0.333,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,11.0,0.273,3.0,0.429,0.702,0.273,0.0,False
Pete Alonso,624413,121,155.0,127.0,126.0,98.0,30.0,2.0,50.0,172.0,70.0,6.0,151.0,21.0,0.264,573.0,0.363,0.585,0.947,0.0,1.0,1.0,12.0,2658.0,667.0,335.0,115.0,238.0,0.0,3.0,0.285,1.01,11.46,9.33,0.321,9.0,0.406,1.12,0.714,11.2,0.214,12.0,0.313,0.831,0.518,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,8.0,0.125,1.0,0.222,0.347,0.125,1.0,True
Rajai Davis,434658,121,23.0,8.0,7.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.182,22.0,0.217,0.409,0.626,0.0,0.0,0.0,0.0,87.0,23.0,9.0,7.0,13.0,0.0,0.0,0.167,1.14,22.0,0.0,0.2,1.0,0.2,0.6,0.4,0.0,0.1,1.0,0.182,0.382,0.2,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Rene Rivera,425784,121,6.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.273,11.0,0.385,0.273,0.657,0.0,0.0,0.0,0.0,51.0,13.0,3.0,1.0,6.0,0.0,0.0,0.333,1.0,0.0,0.0,0.273,3.0,0.385,0.658,0.273,0.0,0.273,3.0,0.385,0.658,0.273,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Robinson Cano,429664,121,102.0,125.0,89.0,45.0,27.0,0.0,13.0,66.0,23.0,3.0,98.0,4.0,0.261,376.0,0.309,0.436,0.745,0.0,0.0,0.0,16.0,1423.0,405.0,164.0,38.0,162.0,0.0,2.0,0.284,1.4,28.92,0.0,0.217,5.0,0.333,0.681,0.348,24.0,0.271,13.0,0.345,0.824,0.479,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,7.0,0.143,1.0,0.143,0.286,0.143,0.0,False
Sam Haggerty,664059,121,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Todd Frazier,453943,121,127.0,95.0,130.0,60.0,17.0,2.0,21.0,101.0,38.0,0.0,105.0,11.0,0.244,431.0,0.321,0.439,0.759,2.0,1.0,0.333,9.0,1917.0,480.0,189.0,67.0,195.0,0.0,0.0,0.272,0.73,20.52,0.0,0.261,6.0,0.37,0.631,0.261,13.67,0.317,13.0,0.429,1.014,0.585,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,7.0,0.143,1.0,0.25,0.393,0.143,1.0,True
Tomas Nido,621512,121,46.0,42.0,26.0,9.0,5.0,0.0,4.0,32.0,6.0,2.0,26.0,0.0,0.208,125.0,0.244,0.344,0.588,0.0,0.0,0.0,3.0,435.0,132.0,43.0,14.0,61.0,1.0,0.0,0.247,1.62,31.25,9.0,0.222,2.0,0.3,0.856,0.556,31.0,0.129,4.0,0.182,0.472,0.29,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Wilson Ramos,467092,121,138.0,191.0,73.0,52.0,19.0,0.0,14.0,69.0,44.0,5.0,135.0,4.0,0.29,466.0,0.355,0.421,0.775,0.0,1.0,1.0,16.0,1692.0,516.0,196.0,72.0,187.0,0.0,2.0,0.314,2.62,33.29,0.0,0.217,5.0,0.333,0.637,0.304,49.0,0.245,12.0,0.339,0.727,0.388,0.276,5.46,0.51,10.29,1.93,28.0,17.61,5.79,1.0,0.65,2.4,7.71,3.21,1.5,0.5,6.0,0.5,3.0,0.625,1.125,0.5,1.0,True
Austin Dean,621573,146,58.0,42.0,40.0,15.0,12.0,0.0,5.0,40.0,8.0,1.0,35.0,0.0,0.224,156.0,0.261,0.397,0.658,1.0,0.0,0.0,4.0,629.0,165.0,62.0,20.0,53.0,0.0,1.0,0.268,1.05,31.2,12.0,0.333,8.0,0.429,1.179,0.75,21.0,0.286,12.0,0.362,0.91,0.548,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,4.0,0.25,1.0,0.25,0.5,0.25,1.0,True
Bryan Holaday,592407,146,40.0,33.0,27.0,12.0,6.0,0.0,4.0,20.0,11.0,2.0,32.0,1.0,0.291,110.0,0.358,0.455,0.812,1.0,0.0,0.0,5.0,476.0,124.0,50.0,12.0,43.0,1.0,1.0,0.322,1.22,27.5,18.0,0.333,6.0,0.35,0.906,0.556,34.0,0.265,9.0,0.297,0.709,0.412,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,4.0,0.25,1.0,0.4,0.9,0.5,1.0,False
Curtis Granderson,434158,146,132.0,65.0,92.0,43.0,17.0,1.0,11.0,95.0,41.0,1.0,57.0,3.0,0.186,307.0,0.286,0.355,0.641,3.0,0.0,0.0,3.0,1535.0,353.0,109.0,33.0,109.0,0.0,2.0,0.227,0.71,27.91,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.2,2.0,0.385,0.585,0.2,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Garrett Cooper,643265,146,107.0,108.0,58.0,52.0,16.0,1.0,15.0,110.0,33.0,0.0,107.0,5.0,0.281,381.0,0.344,0.446,0.791,0.0,0.0,0.0,10.0,1707.0,421.0,170.0,50.0,142.0,0.0,2.0,0.357,1.86,25.4,26.0,0.346,9.0,0.37,0.87,0.5,18.33,0.291,16.0,0.328,0.855,0.527,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,4.0,0.0,0.0,0.2,0.2,0.0,1.0,False
Harold Ramirez,623912,146,113.0,126.0,76.0,51.0,19.0,2.0,10.0,86.0,18.0,1.0,108.0,5.0,0.273,395.0,0.313,0.408,0.72,0.0,2.0,1.0,8.0,1585.0,420.0,161.0,49.0,146.0,0.0,1.0,0.327,1.66,39.5,0.0,0.35,7.0,0.409,0.809,0.4,0.0,0.31,13.0,0.356,0.737,0.381,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,7.0,0.143,1.0,0.143,0.286,0.143,1.0,True
Isan Diaz,656371,146,43.0,37.0,44.0,15.0,5.0,2.0,3.0,48.0,18.0,0.0,26.0,2.0,0.169,154.0,0.263,0.286,0.549,3.0,0.0,0.0,2.0,721.0,175.0,44.0,18.0,57.0,0.0,1.0,0.221,0.84,51.33,0.0,0.222,6.0,0.3,0.67,0.37,54.0,0.204,11.0,0.271,0.66,0.389,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jon Berti,542932,146,67.0,67.0,35.0,50.0,14.0,1.0,6.0,65.0,22.0,0.0,63.0,6.0,0.275,229.0,0.353,0.424,0.776,1.0,12.0,0.923,2.0,1062.0,258.0,97.0,23.0,87.0,0.0,1.0,0.358,1.91,38.17,0.0,0.429,12.0,0.448,0.948,0.5,0.0,0.309,17.0,0.377,0.777,0.4,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,7.0,0.571,4.0,0.625,1.768,1.143,1.0,True
Jorge Alfaro,595751,146,125.0,104.0,56.0,43.0,13.0,1.0,17.0,150.0,21.0,1.0,110.0,10.0,0.263,418.0,0.313,0.421,0.734,4.0,3.0,0.429,12.0,1673.0,451.0,176.0,54.0,201.0,0.0,2.0,0.368,1.86,24.59,10.5,0.19,4.0,0.292,0.768,0.476,15.33,0.174,8.0,0.296,0.687,0.391,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,12.0,0.5,6.0,0.538,1.538,1.0,1.0,True
Lewis Brinson,621446,146,69.0,59.0,51.0,15.0,9.0,1.0,0.0,69.0,13.0,1.0,39.0,6.0,0.181,215.0,0.247,0.233,0.479,1.0,1.0,0.5,8.0,925.0,237.0,50.0,15.0,85.0,2.0,1.0,0.265,1.16,0.0,0.0,0.167,4.0,0.31,0.477,0.167,0.0,0.178,8.0,0.302,0.48,0.178,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,13.0,0.154,2.0,0.214,0.368,0.154,1.0,False
Magneuris Sierra,642423,146,15.0,12.0,7.0,5.0,1.0,1.0,0.0,7.0,2.0,0.0,14.0,0.0,0.35,40.0,0.381,0.425,0.806,3.0,3.0,0.5,0.0,136.0,42.0,17.0,1.0,14.0,0.0,0.0,0.424,1.71,0.0,0.0,0.389,7.0,0.421,0.977,0.556,0.0,0.35,14.0,0.381,0.806,0.425,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Martin Prado,445988,146,99.0,75.0,69.0,25.0,9.0,0.0,1.0,38.0,12.0,0.0,54.0,0.0,0.232,233.0,0.266,0.283,0.549,0.0,0.0,0.0,9.0,967.0,248.0,66.0,14.0,78.0,0.0,3.0,0.269,1.09,233.0,0.0,0.167,2.0,0.231,0.481,0.25,0.0,0.208,5.0,0.296,0.546,0.25,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,15.0,0.4,6.0,0.471,0.871,0.4,1.0,False
Miguel Rojas,500743,146,127.0,136.0,140.0,49.0,29.0,1.0,5.0,59.0,32.0,2.0,131.0,4.0,0.285,460.0,0.333,0.385,0.718,5.0,8.0,0.615,15.0,1775.0,502.0,177.0,46.0,164.0,1.0,5.0,0.314,0.97,92.0,0.0,0.267,8.0,0.267,0.7,0.433,0.0,0.306,19.0,0.317,0.736,0.419,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,23.0,0.217,5.0,0.25,0.511,0.261,1.0,True
Neil Walker,435522,146,110.0,83.0,84.0,33.0,16.0,1.0,7.0,74.0,40.0,1.0,83.0,1.0,0.257,323.0,0.34,0.378,0.717,0.0,3.0,1.0,8.0,1433.0,365.0,122.0,35.0,144.0,0.0,1.0,0.313,0.99,46.14,17.0,0.235,4.0,0.35,0.821,0.471,39.0,0.231,9.0,0.348,0.681,0.333,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Starlin Castro,516770,146,156.0,180.0,169.0,66.0,29.0,4.0,21.0,108.0,27.0,2.0,166.0,2.0,0.27,614.0,0.299,0.433,0.732,2.0,2.0,0.5,23.0,2404.0,652.0,266.0,83.0,251.0,0.0,9.0,0.294,1.07,29.24,14.5,0.345,10.0,0.375,1.134,0.759,14.25,0.281,16.0,0.338,0.952,0.614,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,23.0,0.304,7.0,0.304,0.782,0.478,1.0,True
Tyler Heineman,623168,146,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,5.96,1.23,11.22,1.79,25.2,18.35,6.43,1.0,0.64,2.67,8.42,3.16,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Abraham Almonte,501659,109,15.0,7.0,5.0,10.0,3.0,1.0,1.0,7.0,5.0,0.0,9.0,0.0,0.321,28.0,0.424,0.607,1.031,0.0,0.0,0.0,1.0,136.0,33.0,17.0,4.0,18.0,0.0,0.0,0.4,1.4,28.0,15.0,0.4,6.0,0.5,1.367,0.867,28.0,0.321,9.0,0.424,1.031,0.607,0.237,1.69,1.46,7.88,0.28,32.0,15.16,1.97,1.0,0.66,2.86,5.63,1.97,1.09,1.0,8.0,0.125,1.0,0.125,0.25,0.125,1.0,False
Adam Jones,430945,109,133.0,127.0,128.0,65.0,25.0,1.0,16.0,99.0,27.0,2.0,125.0,8.0,0.263,476.0,0.311,0.42,0.731,1.0,2.0,0.667,15.0,1866.0,515.0,200.0,66.0,182.0,0.0,3.0,0.299,0.99,29.75,28.0,0.214,6.0,0.214,0.535,0.321,56.0,0.214,12.0,0.267,0.571,0.304,0.237,1.69,1.46,7.88,0.28,32.0,15.16,1.97,1.0,0.66,2.86,5.63,1.97,1.09,1.0,7.0,0.429,3.0,0.5,1.357,0.857,0.0,True
Alex Avila,488671,109,60.0,43.0,17.0,21.0,8.0,0.0,9.0,64.0,34.0,7.0,34.0,1.0,0.215,158.0,0.358,0.437,0.794,0.0,1.0,1.0,8.0,818.0,193.0,69.0,24.0,64.0,0.0,0.0,0.294,2.53,17.56,0.0,0.235,4.0,0.381,0.734,0.353,43.0,0.186,8.0,0.286,0.612,0.326,0.237,1.69,1.46,7.88,0.28,32.0,15.16,1.97,1.0,0.66,2.86,5.63,1.97,1.09,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Caleb Joseph,543376,109,17.0,6.0,13.0,5.0,2.0,0.0,0.0,8.0,1.0,0.0,6.0,1.0,0.188,32.0,0.235,0.25,0.485,0.0,0.0,0.0,0.0,127.0,35.0,8.0,2.0,15.0,1.0,0.0,0.25,0.46,0.0,0.0,0.25,3.0,0.308,0.641,0.333,0.0,0.214,6.0,0.267,0.553,0.286,0.237,1.69,1.46,7.88,0.28,32.0,15.16,1.97,1.0,0.66,2.86,5.63,1.97,1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Carson Kelly,608348,109,109.0,70.0,85.0,43.0,18.0,0.0,18.0,77.0,47.0,10.0,75.0,2.0,0.245,306.0,0.348,0.48,0.829,0.0,0.0,0.0,11.0,1536.0,356.0,147.0,46.0,137.0,0.0,1.0,0.269,0.82,17.0,0.0,0.182,4.0,0.28,0.462,0.182,0.0,0.143,6.0,0.28,0.447,0.167,0.237,1.69,1.46,7.88,0.28,32.0,15.16,1.97,1.0,0.66,2.86,5.63,1.97,1.09,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
