Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Eric Sogard,519299,139,93.0,74.0,57.0,22.0,2.0,13.0,55.0,37.0,1.0,105.0,1.0,0.302,348.0,0.368,0.489,0.856,0.0,8.0,1.0,3.0,1579.0,392.0,170.0,38.0,93.0,3.0,3.0,0.325,0.62,26.77,0.0,0.25,6.0,0.28,0.613,0.333,44.0,0.295,13.0,0.38,0.835,0.455,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,8.0,0.25,2.0,0.333,0.583,0.25,0.0,True
Guillermo Heredia,628338,139,74.0,49.0,26.0,10.0,0.0,4.0,49.0,17.0,0.0,40.0,6.0,0.225,178.0,0.312,0.348,0.66,1.0,2.0,0.667,4.0,802.0,204.0,62.0,17.0,82.0,2.0,1.0,0.286,1.14,44.5,18.0,0.167,3.0,0.318,0.707,0.389,21.0,0.19,8.0,0.314,0.695,0.381,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Jesus Aguilar,542583,139,112.0,67.0,35.0,10.0,0.0,9.0,69.0,38.0,0.0,65.0,2.0,0.239,272.0,0.331,0.375,0.706,0.0,0.0,0.0,11.0,1323.0,320.0,102.0,39.0,118.0,0.0,5.0,0.281,0.88,30.22,0.0,0.111,2.0,0.238,0.405,0.167,0.0,0.256,11.0,0.319,0.598,0.279,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Ji-Man Choi,596847,139,99.0,82.0,37.0,14.0,1.0,11.0,77.0,47.0,2.0,81.0,6.0,0.252,322.0,0.354,0.404,0.757,3.0,2.0,0.4,5.0,1552.0,379.0,130.0,43.0,135.0,0.0,4.0,0.294,0.95,29.27,0.0,0.125,2.0,0.391,0.516,0.125,43.0,0.163,7.0,0.308,0.587,0.279,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,4.0,0.0,0.0,0.333,0.333,0.0,0.0,False
Kevin Kiermaier,595281,139,106.0,120.0,51.0,17.0,7.0,13.0,85.0,22.0,2.0,93.0,1.0,0.244,381.0,0.286,0.428,0.714,4.0,19.0,0.826,7.0,1515.0,406.0,163.0,51.0,159.0,1.0,1.0,0.282,1.41,29.31,24.0,0.167,4.0,0.2,0.533,0.333,28.5,0.228,13.0,0.254,0.64,0.386,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,3.0,0.0,0.0,0.25,0.25,0.0,0.0,False
Matt Duffy,622110,139,24.0,34.0,6.0,5.0,0.0,0.0,15.0,9.0,0.0,21.0,0.0,0.244,86.0,0.316,0.302,0.618,0.0,0.0,0.0,1.0,386.0,95.0,26.0,7.0,28.0,0.0,0.0,0.296,2.13,0.0,0.0,0.19,4.0,0.261,0.499,0.238,0.0,0.229,11.0,0.315,0.586,0.271,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Michael Brosseau,670712,139,39.0,23.0,14.0,7.0,0.0,5.0,31.0,5.0,0.0,32.0,2.0,0.276,116.0,0.317,0.466,0.783,0.0,1.0,1.0,2.0,508.0,124.0,54.0,15.0,47.0,1.0,0.0,0.338,0.74,23.2,0.0,0.188,3.0,0.235,0.485,0.25,40.0,0.25,10.0,0.302,0.652,0.35,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Mike Zunino,572287,139,73.0,51.0,25.0,10.0,1.0,8.0,84.0,18.0,0.0,39.0,3.0,0.17,230.0,0.239,0.326,0.565,0.0,0.0,0.0,3.0,1022.0,251.0,75.0,27.0,134.0,0.0,0.0,0.225,0.91,28.75,18.0,0.111,2.0,0.2,0.478,0.278,13.0,0.154,6.0,0.25,0.635,0.385,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Tommy Pham,502054,139,115.0,142.0,59.0,22.0,2.0,19.0,100.0,71.0,4.0,118.0,4.0,0.265,446.0,0.37,0.451,0.82,3.0,16.0,0.842,17.0,2101.0,522.0,201.0,54.0,197.0,0.0,1.0,0.302,1.63,23.47,12.0,0.208,5.0,0.424,0.924,0.5,17.67,0.189,10.0,0.348,0.744,0.396,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,9.0,0.333,3.0,0.5,0.944,0.444,1.0,True
Travis d'Arnaud,518595,139,79.0,64.0,42.0,11.0,0.0,13.0,63.0,27.0,0.0,64.0,1.0,0.245,261.0,0.314,0.437,0.751,1.0,0.0,0.0,3.0,1118.0,293.0,114.0,49.0,115.0,0.0,4.0,0.27,0.86,20.08,0.0,0.25,6.0,0.259,0.592,0.333,0.0,0.189,10.0,0.224,0.45,0.226,0.258,6.0,0.51,9.38,3.38,24.0,19.92,6.0,0.0,0.63,1.4,7.88,5.63,1.67,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,False
